movie_id,title,release_date,description,score,thumbnail,parsed_date,release_year,release_month,release_day
11356,Vénus beauté (institut),"October 27, 2000","This film takes us into this world of beauty and self image and into the lives of four strong, smart women who make their living practicing beauty at a Parisian spa.  (Lot 47 Films)",64,https://static.metacritic.com/images/products/movies/5/f9634419235204cfaf0038879a97d503-98.jpg,2000-10-27,2000,10,27
11369,Finding Forrester,"December 20, 2000",An uplifting story about the unusual dynamic between an isolated author (Connery) and the confident teenager (Brown) who changes his life.  (Sony Pictures Entertainment),62,https://static.metacritic.com/images/products/movies/3/df3794bfc8ff44c71c9bde2646d705dc-98.jpg,2000-12-20,2000,12,20
11373,Dancer in the Dark,"September 22, 2000","Bjork stars as Selma, a Czech immigrant and single mother working in a factory in rural America. She is losing her eyesight and her 10 year-old son stands to suffer the same fate if she can't put away enough money to secure him an operation. (FilmFour)",61,https://static.metacritic.com/images/products/movies/7/1956afd976ccf76571797dfe1291985f-98.jpg,2000-09-22,2000,9,22
11374,One,"October 13, 2000",The dramatic story of two young men whose friendship deteriorates as their lives take different directions.  (Shooting Gallery),61,https://static.metacritic.com/images/products/movies/9/99f20b7119dbb18fca80f2f53d5cc7c3-98.jpg,2000-10-13,2000,10,13
11375,Goya in Bordeaux,"September 15, 2000","Explores the experiences and artistic evolution of Francisco Goya, the man considered to be the most important artist of the modern era.  (Sony Pictures Classics)",61,https://static.metacritic.com/images/products/movies/6/2f3ffbe5c76b4c11ec7f06f1e5e62790-98.jpg,2000-09-15,2000,9,15
11379,Luminous Motion,"May 19, 2000","A mother and her 10-year old son, who has an active fantasy life, drive across the country on the proceeds of the mother's trick-turning; that is, until her car dies.  She temporarily moves in with a hardware store owner, and the boy's father tries to track them down.",60,https://static.metacritic.com/images/products/movies/98w-movie.jpg,2000-05-19,2000,5,19
11384,Mission: Impossible II,"May 24, 2000","Ethan Hunt (Tom Cruise) leads his IMF team to capture and destroy a German-manufactured virus before it falls in the wrong, potentially deadly hands.",59,https://static.metacritic.com/images/products/movies/5/06c0c2ccd8fc8053f651e4132c53a2e7-98.jpg,2000-05-24,2000,5,24
11388,The Contender,"October 13, 2000",Sex secrets from a U.S. Senator's (Allen) past come to light as she is nominated for Vice President.,59,https://static.metacritic.com/images/products/movies/1/85c58396d10d3d43cfc655d05162d12d-98.jpg,2000-10-13,2000,10,13
11391,The Wisdom of Crocodiles,"July 14, 2000","Searching for an ideal woman, Steven (Law), a ""vampire"" type in London, craves the intimacy of women.  He meets a strong woman named Anne and it is clear only one of them will survive.",58,https://static.metacritic.com/images/products/movies/2/6bc52e6562366b03cb262f5455c89bd7-98.jpg,2000-07-14,2000,7,14
11393,The Trench,"November 22, 2000","Focusing on an idealistic group of young World War One soldiers, this film dramatizes the forty-eight hours preceding the 1916 Battle of the Somme.",58,https://static.metacritic.com/images/products/movies/6/9b198281445ca934210986678ca229f0-98.jpg,2000-11-22,2000,11,22
11394,The Yards,"October 20, 2000","A drama set in the vast New York City subway yards.  After serving time in prison for taking the fall for a group of his friends, Leo Handler (Wahlberg) just wants to get his life back on track.  So, Leo returns to the one place he thinks will be safe -- home.  But in the yards, where his uncle (Caan) now pulls the strings, safe is not how they do business.  (Miramax Films)",58,https://static.metacritic.com/images/products/movies/2/dd9b482876f1b68b1d3aaec3de48f2e3-98.jpg,2000-10-20,2000,10,20
11397,What's Cooking?,"October 27, 2000","You are invited to a tasty Thanksgiving dinner that will all at once transport you to four different worlds and take you home again.  Coming together is the theme of What's Cooking?, Gurinder Chadha's funny, mouthwatering and deeply moving vision of 21st century diversity and the future of the American family - all set on Thanksgiving.  (Trimark Pictures)",57,https://static.metacritic.com/images/products/movies/1/ebc6924386707b7a85b19c40edec38b1-98.jpg,2000-10-27,2000,10,27
11399,Sasayaki,"November 17, 2000",A beautifully crafted and darkly comic exploration of innocence and perversity. Shiota gets a great deal of mileage out of the extreme contrast between the film's placid surface - that of a lightweight teen romance - and it's underlying themes of sexual degradation and control.  (Viz Films),57,https://static.metacritic.com/images/products/movies/9/24910d76a0081631d32d65c9840b45d9-98.jpg,2000-11-17,2000,11,17
11400,The Tavern,"September 22, 2000",Best friends Ronnie and Dave struggle to run a Manhattan tavern and find their self-respect.  (Redeemable Features),57,https://static.metacritic.com/images/products/movies/6/544e9506b1f529194da951a2eeaece36-98.jpg,2000-09-22,2000,9,22
11407,Claire Dolan,"February 25, 2000","Claire Dolan (Cartlidge) is an immigrant who works as a prostitute in New York City in order to pay off an ever-escalating debt to her pimp. When her mother dies in a local nursing home, Claire attempts to extricate herself from her life as a call girl.  (New Yorker Films)",56,https://static.metacritic.com/images/products/movies/1/ad2cf0171177eb582f938f1737fedaf8-98.jpg,2000-02-25,2000,2,25
11410,Men of Honor,"November 10, 2000","Inspired by the life of Carl Brashear (Gooding, Jr.). The setting of his journey is the little known and dangerous world of deep-sea diving in the U.S. Navy of the 1950s and 60s.  (20th Century Fox Films)",56,https://static.metacritic.com/images/products/movies/0/bcf9650d1e00bca6e6f8976baba66169-98.jpg,2000-11-10,2000,11,10
11411,Dinosaur,"May 19, 2000","When a meteor shower destroys their home, Aladar and his family follow a herd of dinosaurs heading for the safety of the ""nesting grounds."" Along the way, Aladar befriends other colorful dinosaurs. Together, they must stand strong amidst food and water shortages, the threat of carnotaur attacks, and Aladar's run-ins with the herd's stubborn leader, Kron.",56,https://static.metacritic.com/images/products/movies/0/f4cb63f303af508da47abc06d46f1f83-98.jpg,2000-05-19,2000,5,19
