budget,cast,certification,company,director,genres,gross_sales,id,opening_weekend,producer,release_date,runtime,title,user_rating,votes,budget_usd,opening_weekend_usd,gross_sales_usd,runtime_numeric,user_rating_numeric,votes_numeric,mpaa_rating,release_year,release_month,release_day
"$63,000,000 (estimated)","John Travolta, Lisa Kudrow, Tim Roth, Ed O'Neill, Michael Rapaport, Daryl Mitchell, Bill Pullman, Richard Schiff, Michael Moore, Sam McMurray","TV-14::(DLSV, TV Rating.), R","Paramount Pictures, StudioCanal, Mad Chance",Nora Ephron,"Comedy, Crime",,219952,,"G. Mac Brown, Sean Daniel, Anson Downes, Nora Ephron, Linda Favila",2000-10-24,105,Lucky Numbers,5.1,10581,63000000.0,,,105,5.1,10581,R,2000,10,24
"$1,000,000 (estimated)","Michelle Rodriguez, Jamie Tirelli, Paul Calderon, Douglas Santiago, Ray Santiago, Víctor Sierra, Elisa Bocanegra, Shannon Walker Williams, Louis Guss, Herb Lovelle",R,"Green/Renzi, Independent Film Channel",Karyn Kusama,"Drama, Sport",,210075,"$197,896, 01 Oct 2000","Sarah Green, Martha Griffin, Caroline Kaplan, Maggie Renzi, John Sayles",2000-01-22,110,Girlfight,6.7,11100,1000000.0,197896.0,,110,6.7,11100,R,2000,1,22
"CAD20,000,000 (estimated)","Ron Anderson, Wes Bentley, Marty Antonini, Milla Jovovich, Sarah Polley, Nastassja Kinski, Randy Birch, Marie Brassard, Bill Chesterman, Artur Ciastkowski","TV-MA::(cable rating), R","Alberta Foundation for the Arts, Alliance Atlantis Communications, Arts Council of England, BBC Films, Canal+",Michael Winterbottom,"Drama, Romance, Western",,218378,,"Jean-Yves Asselin, Douglas Berquist, Andrea Calderwood, Andrew Eaton, Martin Katz",2000-12-07,120,The Claim,6.3,6410,,,,120,6.3,6410,R,2000,12,7
"$36,000,000 (estimated)","Gérard Depardieu, Uma Thurman, Tim Roth, Julian Glover, Julian Sands, Timothy Spall, Murray Lachlan Young, Hywel Bennett, Richard Griffiths, Arielle Dombasle",PG-13,"Légende Films, Gaumont, Nomad Films, Timothy Burrill Productions, TF1 Films Production",Roland Joffé,"Biography, Drama, History, Romance",,190861,,"Patrick Bordier, Timothy Burrill, Alain Goldman, Roland Joffé, Catherine Morisse",2000-05-08,103,Vatel,6.6,7921,36000000.0,,,103,6.6,7921,PG-13,2000,5,8
,"Kevin Spacey, Linda Fiorentino, Peter Mullan, Stephen Dillane, Helen Baxendale, David Hayman, Patrick Malahide, Gerard McSorley, David Kelly, Gary Lydon",R,"Bord Scannán na hÉireann / The Irish Film Board, Filmstiftung Nordrhein-Westfalen, Icon Entertainment International, Little Bird, Miramax",Thaddeus O'Sullivan,"Comedy, Crime",,160611,,"Michael André, Jonathan Cavendish, Ralph Kamp, James Mitchell, Margaret Moggan",2000-01-07,93,Ordinary Decent Criminal,6.3,13996,,,,93,6.3,13996,R,2000,1,7
,"RuPaul, Tammy Faye Bakker, Virginia Fairchild, Johnny Grover, Oral Roberts, Jim Bakker, Lori Bakker, Tammy Sue Bakker, Mel White, Jay Bakker",PG-13,"Cinemax, FilmFour, World of Wonder Productions","Fenton Bailey, Randy Barbato","Documentary, Biography",,233687,,"Fenton Bailey, Randy Barbato, John Hoffman, Sheila Nevins, Gabriel Rotello",2000-01-25,79,The Eyes of Tammy Faye,7.2,2125,,,,79,7.2,2125,PG-13,2000,1,25
,"Liam Neeson, Julian Ayer, John Blackborow, David Cale, John Henry Cox, Mary Crean O'Brien, Steven Crossley, Brian d'Arcy James, Drew De Carvalho, Dominic Hawksley",G,"Discovery Channel Pictures, FilmFour, Morgan Stanley Dean Witter, NOVA/WGBH Boston, Outward Bound",George Butler,"Documentary, History",,264578,"$18,931, 05 Oct 2001","Caroline Alexander, Paula Apsell, Prudence Arndt, George Butler, Bowe Ferrer",2000-09-02,97,The Endurance,7.8,2039,,18931.0,,97,7.8,2039,G,2000,9,2
"$3,000,000 (estimated)","Heather Graham, Casey Affleck, Luke Wilson, Goran Visnjic, Patricia Velasquez, Alfonso Arau, Mark Ruffalo, Kim Dickens, Clea DuVall, Summer Phoenix",R,Miramax,Lisa Krueger,"Comedy, Drama",,144142,"$11,452, 30 Apr 2000","Jonathan Gordon, Marlen Hecht, Guy J. Louthan, Patrick Peach, Dean Silvers",2000-01-21,98,Committed,5.1,3888,3000000.0,11452.0,,98,5.1,3888,R,2000,1,21
"$13,000,000 (estimated)","Alessandro Nivola, Alicia Silverstone, Natascha McElhone, Kenneth Branagh, Carmen Ejogo, Matthew Lillard, Adrian Lester, Emily Mortimer, Richard Briers, Geraldine McEwan",PG,"Pathé Pictures International, Intermedia Films, Arts Council of England, StudioCanal, Miramax",Kenneth Branagh,"Romance, Comedy, Musical",,182295,,"David Barron, Kenneth Branagh, Andrea Calderwood, Guy East, Alexis Lloyd",2000-02-14,93,Love's Labour's Lost,5.9,4707,13000000.0,,,93,5.9,4707,PG,2000,2,14
"$50,000,000 (estimated)","Kim Basinger, Vincent Perez, Liam Aiken, Garrett Strommen, Eva Marie Saint, Daniel Craig, Lance Reddick, Connie Chiume, James Ngobese, Joko Scott",PG-13,"Columbia Pictures, Global Entertainment Productions GmbH & Company Medien KG, Jaffilms",Hugh Hudson,"Adventure, Biography, Drama, Romance",,167203,"$2,411,445, 07 May 2000","Stanley R. Jaffe, John D. Schofield, Allyn Stewart",2000-05-05,114,I Dreamed of Africa,5.5,4686,50000000.0,2411445.0,,114,5.5,4686,PG-13,2000,5,5
"$25,000,000 (estimated)","Madonna, Rupert Everett, Benjamin Bratt, Illeana Douglas, Michael Vartan, Josef Sommer, Malcolm Stumpf, Lynn Redgrave, Neil Patrick Harris, Mark Valley",PG-13,"Lakeshore Entertainment, Paramount Pictures",John Schlesinger,"Comedy, Drama, Romance","$24,362,772",156841,"$5,870,387, 05 Mar 2000","Leslie Dixon, Gary Lucchesi, Lewis Manilow, Linne Radmin, Tom Rosenberg",2000-03-03,108,The Next Best Thing,4.6,11373,25000000.0,5870387.0,24362772.0,108,4.6,11373,PG-13,2000,3,3
,"Molly Ringwald, Frank Roberts, Kylie Minogue, Geoff Revell, Jessica Napier, Sarah Kants, Stephen Curry, Matthew Russell, Erika Walters, Cathy Adamek",R,"Beyond Films, Cut Productions, MBP, Mushroom Pictures, The South Australian Film Corporation",Kimble Rendall,"Comedy, Horror, Mystery, Thriller",,189456,,"Bill Bennett, Mikael Borglund, Jennifer Cluff, Martin Fabinyi, Michael Gudinski",2000-02-23,82,Cut,4.3,3524,,,,82,4.3,3524,R,2000,2,23
"$20,000,000 (estimated)","Steve Zahn, Salma Hayek, Jeff Goldblum, Elijah Wood, David Cross, Tom Wilkinson, Orlando Jones, Kevin Corrigan, David Hyde Pierce, Lara Flynn Boyle",R,"Bel Air Entertainment, City Block Productions, Lord-Weaver, Shiny Productions","Pontus Löwenhielm, Patrick von Krusenstjerna","Comedy, Crime",,194368,,"Charles Block, Tony Lord, Steven Reuther, Alex Schwartz, Traktor",2000-09-22,98,Chain of Fools,6.0,4119,20000000.0,,,98,6.0,4119,R,2000,9,22
